code	product_name_de	quantity	categories_tags	ingredients_text_de
4061459349863		200 g	en:breakfasts,en:spreads,en:sweet-spreads	Zucker, Rapsöl, Magermilchpulver 7,5%, Kakaobutter 4,5 %, Haselnuss 2.5%, Haselnussstückchen 2,5 %, Kakaopulver stark entölt 2,5 %, Süßmolkenpulver Laktose, getrockneter Reissirup, wasserfreies Milchfett 0,8 %, Emulgator: Sojalecithin Bourbon Vanilleextrakt. Kann Spuren von anderen Schalenfrüchten enthalten Bei Zimmertemperatur aufbewahren. mit dem Geschmack der Milch Mäuse. Brinkers Food B.V. Marssteden 58 7547 TD Enschede i Niederlande 200 ge So trennt Gelbe man richtig: Tonne Glas
4061462624452	Chutney- Geschenkset	280g (4 x 70g)	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:fruit-chutneys	
4061458026345	Focaccia - Mozzarella mit Kräuterbutter	300g (2 x 150g)	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:special-breads,en:pre-baked-breads,de:brote-zum-aufbacken	_Weizenmehl_, Wasser, 8 % Kräuterbrotaufstrich (_Butter_, Rapsöl, Knoblauchpüree, Salz, 1,5 % Petersilie), 6,5 % Mozzarella (enthält _Milch_), Hefe, Rapsöl, Sonnenblumenöl, gemilderter Branntweinessig, Reismehl, Salz, natives Olivenöl, Knoblauchpulver, Zucker, Konservierungsstoff E281, 0,01 % Petersilie.
4061458010368	ALDI Asia Green Garden Sesamöl 250 ml	250ml	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:fats,en:cereals-and-their-products,en:vegetable-fats,en:vegetable-oils,en:cereal-oils,en:sesame-oils	100% Bio-Sesamöl kaltgepresst.
4061458068499	ALDI LANDFREUDE Spätzle  Aus Hartweizengrieß und frischen Hühnereiern aus Bodenhaltung hergestellt; goldgelb und bissfest 1.59 500-g-Packung kg = 3.18	500g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles,en:german-pasta,de:schwäbische-spätzle	"Hartweizengrieß, frische Hühnereier* (20 %). *aus Bodenhaltung
Kann Spuren von Soja enthalten."
4061461977108	ALDI GOURMET Eierteigwaren 250 g  Tagliatelle (schmal).jpeg	250g		
4061458005791	ALDI GUT BIO Hühnerbrühe Bio-Brühe  Ergiebigkeit: ca. 7 Liter; kontrolliert ökologische Erzeugung; verschiedene Sorten     0.99 140-g-Glas Liter = 0.14	140g	en:broths,en:groceries	
4061458005807	ALDI GUT BIO Klare Brühe mit Rindfleisch Bio-Brühe  Ergiebigkeit: ca. 7 Liter; kontrolliert ökologische Erzeugung	140g	en:dried-products,en:dried-products-to-be-rehydrated,en:broths,en:dehydrated-broths,en:bouillon-powders,en:groceries	Meersalz, Glukosesirup, Rohrohrzucker Ctarke Karamellzucker, 2% Rindfleischoulver 7wiebeln, 0,6 % Rinderfett,quot,, Gewürze (Maciel Pfeffer), Petersilie, Aroma,
4088600074078			en:gammon	
4061458005814	Bio-Gemüsebrühe	140g	en:meals,en:soups,en:soup-mixes	Meersalz, Glukosesirup, Maisstärke, Zwiebeln, Karotten, Rohrohrzucker, Lauch, Gewürze (Curcuma, Pfeffer),  Kräuter (Petersilie, Sellerieblätter, Liebstöckelblätter), Sonnenblumenöl
4061462417290		200 g	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses	Hier öffnen wiederverschließbar 8030161 Dänische Käsespezialität ESROM 45+.g.g.A. MEINE KÄSETHEKE 2 Scheiben (44 g) enthalten** nach Originalrezept des dänischen Klosters Esrom kräftig-aromatisch Je 100 g: 1343 kJ/323 kcal + 1808 mild GEOGRAFI GOLDENER PREIS DLG www.DIG ORG Laktosefreit natürliche aromatisch kräftig
4061462369551	Feinste Nuss-Variation	200g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts	Phosphor trägt zu einem normalen Energiestoffwechsel bei.¹ Vitamin E trägt dazu bei, die Zellen vor oxidativem Stress zu schützen. mas Nervensystems bei. ¹ Magnesium trägt zu einer normalen Funktion des Die positive Wirkung stellt sich bei einem täglichen Verzehr von 30g ein. Eine abwechslungsreiche, ausgewogene Ernährung sowie eine gesunde Lebensweise sind von großer Bedeutung. Ill ALDI SUD
4061458054263	Roggen Vollkornbrot	500g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:wholemeal-breads	_Roggenvollkornschrot_, Wasser, Sauerteig _Roggenvollkornschrot_, Wasser), 3% Leinsamen, 3 % Sonnenblumenkerne, 3% _Sojaschrot_, _Roggenvollkornmehl_, Speisesalz, Maisgrieß, Hefe.
4061458070348	Trockenpflaumen	500g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:fruits,en:dried-plant-based-foods,en:dried-fruits,en:plums,en:dried-prunes	Trockenpflaumen, Konservierungsstoff: Sorbinsäure
4061458016926	Tomaten ganz geschält	400g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:fruits-and-vegetables-based-foods,en:canned-plant-based-foods,en:vegetables-based-foods,en:canned-vegetables,en:tomatoes-and-their-products,en:tomatoes,en:canned-tomatoes,en:peeled-tomatoes	Geschälte Tomaten 60 %, Tomatensaft, Säuerungsmittel: Citronensäure.
4061458005265	Bio-Honig, flüssig	500g	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys	
4061461479534	Hafer Drink mit Mandel	1l	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:plant-based-beverages,en:milk-substitutes,en:plant-milks,en:cereal-milks,en:oat-milks	Wasser, _Vollkornhafer_(10 %), _Mandeln_ (0,5 %), Meersalz.
4061458016940	Gehackte Tomaten 400g	400g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:fruits-and-vegetables-based-foods,en:canned-plant-based-foods,en:vegetables-based-foods,en:canned-vegetables,en:tomatoes-and-their-products,en:tomatoes,en:canned-tomatoes	Tomaten, Tomatensaft, Säuerungsmittel: Citronensäure,
4061458005272	Bio-Honig, cremig	500g	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys	BIO-HONIG Cremig Mischung von Honig aus EU-Ländern und Nicht-IU-Ländern,
29020911		100g		
4047247156707	Senf scharf	200ml	en:condiments,en:sauces,en:mustards	
4061458082341	Sahne Meerrettich mild	185g	de:würzsauce	Meerrettich, Rapsöl, _Sahne_ (22 %), Wasser, Brantweinessig, Zucker, Salz, _Milcheiweiß_, _Molkenerzeugnis_, modifizierte Stärke, _Magermilchpulver_, Säuerungsmitel: Citronensäure, Ascorbinsäure; Stabilisatoren: Guarkemmehl, Xanthan, Johannisbrotkernmehl, Antioxidationsmittel: _Natriummetabisulfit_, Aroma.
4047247156691	Senf mittelscharf	200ml	en:condiments,en:sauces,en:mustards,en:groceries	Wasser, 35 % Dijon-Senf (Wasser, Senfsaat, Branntweinessig, Salz), Branntweinessig, Senfsaat, Zucker, Salz, Gewürze.
4061459349870	Milchmäuse Duo-Creme - Erdbeere	200 g	en:breakfasts,en:spreads,en:sweet-spreads	
4061462181573	Leichte Schorle - Apfel-Kirsche	0,75 L	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-nectars,en:sodas,en:apple-nectars,en:sparkling-apple-nectars,en:apple-schorle,de:schorlen	Natürliches Mineralwasser, 27% Apfelsaft aus Apfelsaftkonzentrat, 3% Sauerkirschsaft aus Sauerkirschsaftkonzentrat, Kohlensäure, Zitronensaft, natürliches Aroma, Holunderbeersaftkonzentrat.
4061463024602	Mousse au Chocolate - Weiß	150g (5 x 30g)	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:white-chocolates,en:filled-chocolates	
4061459167535	Chicken Nuggets	300g		
4061458132190	Raspelschokolade	100g	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates	Zucker, Kakaomasse, fettarmes Kakaopulver, Emulgator: Sonnenblumen Lecithin, Kakaobutter
4061458127653		200g		Zucker, pflanzliche Fette (Palm, Kokos, Shea), 20% fettarmes Kakaopulver, Laktose, Emulgator Lecithine. Kann Spuren von Milcheiweiß und Schalen - früchten enthalten.
4061462842764		1l	en:milch,en:milchprodukte,en:teilentrahmte-milch	MILSANI Haltbare Fettarme Milch M 1,5% Fett 1Le ultrahocherhitzt, homogenisiert NUTRI-SCORE ABCDE Qualität aus DEUTSCHLAND Haltungs - form 12 Außenklima haltungsform.de Mehr Tierwohl mit dem ALDI HALTUNGS - WECHSEL D QMilch QMilch.info ++ Serviervorschlag
4061458025140	Salz, jodiert	500g	en:condiments,en:salts,fr:gros-sels,en:table-salts,fr:sels-fins,en:groceries	Salz, Kaliumfluorid, Kaliumjodat, Trennmittel Natriumferrocyanid E535.
4061458004190	Rote Bete (Bio-)  in Scheiben, tafelfertig	330g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:fruits-and-vegetables-based-foods,en:canned-plant-based-foods,en:pickles,en:vegetable-based-foods-and-beverages,en:vegetables-based-foods,en:canned-vegetables,en:plant-based-pickles,en:vegetable-pickles,en:pickled-beets	Rote Bete&quot;, Branntweinessig&quot;, Rohrohrzucker Meersalz. aus kontrolliert biologischem Anbau. Nach dem Öffnen im Kühlschrank aufbewahren und Brennwect T5XC Fett innerhalb von 3 Tagen verzehren. man Mehr Info: Fettsäuren Abtropfgewicht: Kohlehygae 220 a so trenn Gelbe richtig: Tonne
4061458010061	Ravioli mit Sauce Bolognese	800g	en:canned-foods,en:meats-and-their-products,en:meals,en:pasta-dishes,en:meals-with-meat,en:stuffed-pastas,en:beef-dishes,en:pasta-stuffed-with-meat,en:ravioli,en:canned-meals,en:meat-ravioli,en:beef-ravioli,en:canned-raviolis	Soße: Wasser, 6 % Tomatenmark, 6 % Rindfleisch, Zwiebeln, 1% Karotten, Salz, modifizierte Maisstärke, Rapsöl, Zucker, Aroma (enthalt Sellerie), Weißweinextrakt. 28 %' Ravioli: Hartweizengrieß, Wasser, 3,6% Schweinefleisch, Paniermehl (Weizenmehl, Salz, Hefe), 0,4 % Karotten Hühnereieiweiß, Salz.
4061458003841	Nudeln Spaghetti	500g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:noodles,en:durum-wheat-pasta,en:spaghetti,en:durum-wheat-spaghetti	Hartweizengrieß 100%
4061461976842	Suppe Linsen-Eintopf mit Schweinefleisch	800g	en:meals	
4061458016988	Kidneybohnen	400g	en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:canned-foods,en:fruits-and-vegetables-based-foods,en:legumes,en:canned-plant-based-foods,en:vegetables-based-foods,en:canned-vegetables,en:canned-legumes,en:canned-common-beans,en:canned-red-kidney-beans	Rote Kidneybohnen, Wasser, Zucker, Salz,
4099200423029				
